,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cidreira,BR,70.68,scattered clouds,-30.1811,-50.2056,Hotel Castelo
2,Souillac,MU,82.78,light rain,-20.5167,57.5167,Hotel SkylineInn
13,Rikitea,PF,79.32,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
15,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti International Resort
17,Sinnamary,GF,76.1,overcast clouds,5.3833,-52.95,Hôtel du fleuve
19,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
20,Bundibugyo,UG,71.67,overcast clouds,0.7414,30.0417,Vanilla Inn
22,Lethem,GY,75.7,broken clouds,3.3803,-59.7968,Hotel Amazonas
42,Kapaa,US,79.12,light rain,22.0752,-159.319,Pono Kai Resort
43,Kavieng,PG,84.04,light rain,-2.5744,150.7967,Kavieng Hotel
48,Moratuwa,LK,82.42,broken clouds,6.773,79.8816,Frankfort House - Reception Hall
51,Iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,Marfil del Amazonas
53,Saint-Philippe,RE,82.11,broken clouds,-21.3585,55.7679,Le Baril
61,The Valley,AI,76.1,broken clouds,18.217,-63.0578,CeBlue
71,Atuona,PF,78.67,overcast clouds,-9.8,-139.0333,Pearl Resort
81,Upata,VE,70.2,clear sky,8.0086,-62.3989,Hotel Garibardi
86,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
87,Acapulco,MX,77.54,few clouds,16.8634,-99.8901,Hotel del Valle
88,Kendari,ID,84.85,overcast clouds,-3.945,122.4989,City Hotel Kendari
89,Harlingen,US,71.92,overcast clouds,26.1906,-97.6961,Holiday Inn Express
92,Port-Gentil,GA,81.21,light rain,-0.7193,8.7815,Tara-Mé
93,Kihei,US,76.84,light rain,20.785,-156.4656,Maui Beach Resort
105,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Page 63 hostel
107,Guarapari,BR,73.89,few clouds,-20.6667,-40.4975,Osmar Hotel
111,Puerto Ayora,EC,79.56,few clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
131,Mount Gambier,AU,75.34,scattered clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
132,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
137,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
138,Port Blair,IN,84.24,few clouds,11.6667,92.75,Andaman Ocean Breeze
139,Mahebourg,MU,83.25,light rain,-20.4081,57.7,Grand Bel Air
144,Batemans Bay,AU,79.11,clear sky,-35.7167,150.1833,Esplanade Hotel
146,Hilo,US,74.28,moderate rain,19.7297,-155.09,Dolphin Bay Hotel
149,Vao,NC,77.18,clear sky,-22.6667,167.4833,Nataiwatch
151,Vaitape,PF,82.24,few clouds,-16.5167,-151.75,Oa Oa Lodge
155,Saint-Georges,GD,74.88,few clouds,12.0564,-61.7485,Deyna's City Inn
164,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
167,Manado,ID,86.77,light rain,1.487,124.8455,Swiss Belhotel
168,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Den Long Đỗ
173,Sibu,MY,86.31,scattered clouds,2.3,111.8167,The Paramount Hotel
177,Bata,GQ,79.41,light rain,1.8639,9.7658,Hotel Plaza ****
186,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hotel Gondwana
188,Kikwit,CD,71.96,overcast clouds,-5.041,18.8162,Grand Hôtel de Kikwit
190,Caravelas,BR,73.65,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
192,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Hotel Barlovento
197,Victoria,HK,73.96,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
199,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,JARS RESORT
206,Nizwa,OM,76.21,clear sky,22.9333,57.5333,Nizwa Heritage Inn
213,Rantauprapat,ID,86.0,overcast clouds,2.1,99.8333,Hotel Bilah
223,Emerald,AU,87.35,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
230,Touros,BR,77.97,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
231,Lucea,JM,75.06,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
234,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
242,Trenggalek,ID,85.71,scattered clouds,-8.05,111.7167,Atriaz
247,Matara,LK,80.69,overcast clouds,5.9485,80.5353,Villa Palm Breeze
250,Pisco,PE,71.65,clear sky,-13.7,-76.2167,La Portada
253,Ahipara,NZ,70.47,clear sky,-35.1667,173.1667,YHA Ahipara
260,Sechura,PE,77.76,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
261,Itarema,BR,76.5,overcast clouds,-2.9248,-39.9167,Pousada Oásis
263,Namatanai,PG,83.89,light rain,-3.6667,152.4333,Namatanai Hotel
268,Sulangan,PH,80.67,scattered clouds,11.1373,123.7228,Marion's Inn
271,Aracaju,BR,80.55,broken clouds,-10.9111,-37.0717,Pousada Ideal
273,Port Lincoln,AU,79.48,few clouds,-34.7333,135.8667,Boston Hotel
276,Karangasem,ID,84.43,broken clouds,-8.45,115.6167,Hotel Ganitri Oka
284,Hithadhoo,MV,81.07,clear sky,-0.6,73.0833,Pebbles Inn
287,Mersing,MY,82.33,overcast clouds,2.4312,103.8405,Mersing Inn Hotel
292,Esperance,AU,74.95,few clouds,-33.8667,121.9,Hospitality
293,Sao Filipe,CV,70.9,broken clouds,14.8961,-24.4956,Bela Vista
294,Bengkulu,ID,84.18,broken clouds,-3.8004,102.2655,Dena Hotel
