City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,14.97,broken clouds
1,Cidreira,BR,-30.1811,-50.2056,70.68,70,48,14.05,scattered clouds
2,Souillac,MU,-20.5167,57.5167,82.78,83,75,13.8,light rain
3,Bambous Virieux,MU,-20.3428,57.7575,83.21,83,75,13.8,light rain
4,New Norfolk,AU,-42.7826,147.0587,65.91,46,100,7.0,overcast clouds
5,Haysville,US,37.5645,-97.3523,46.72,51,40,8.05,scattered clouds
6,Cape Town,ZA,-33.9258,18.4232,67.37,82,75,27.63,moderate rain
7,Hongjiang,CN,27.11,109.9956,64.38,39,47,4.68,scattered clouds
8,Ushuaia,AR,-54.8,-68.3,42.46,81,40,4.61,scattered clouds
9,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,84,100,10.36,overcast clouds
10,Jamestown,US,42.097,-79.2353,45.99,51,0,9.22,clear sky
11,Flin Flon,CA,54.7682,-101.865,-27.69,100,56,1.23,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,0,10.36,clear sky
13,Rikitea,PF,-23.1203,-134.9692,79.32,75,4,19.04,light rain
14,Ilulissat,GL,69.2167,-51.1,-5.78,77,75,1.14,broken clouds
15,Vaini,TO,-21.2,-175.2,78.96,94,75,3.44,moderate rain
16,Ust-Ordynskiy,RU,52.805,104.7508,14.76,76,89,5.79,overcast clouds
17,Sinnamary,GF,5.3833,-52.95,76.1,80,98,7.7,overcast clouds
18,Lumsden,CA,50.6501,-104.8678,20.01,96,100,6.71,light snow
19,Makakilo City,US,21.3469,-158.0858,77.32,76,75,9.22,light rain
20,Bundibugyo,UG,0.7414,30.0417,71.67,49,89,2.3,overcast clouds
21,Poum,NC,-20.2333,164.0167,79.97,72,24,10.98,few clouds
22,Lethem,GY,3.3803,-59.7968,75.7,67,76,13.24,broken clouds
23,Okakarara,NA,-20.5833,17.4333,57.11,43,1,3.85,clear sky
24,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,75,0,6.91,clear sky
25,Douglas,US,41.3,-96.167,34.52,89,0,8.05,clear sky
26,Riachao,BR,-7.3619,-46.6172,70.0,95,100,3.29,overcast clouds
27,Jibuti,DJ,11.5,42.5,68.77,59,20,9.84,few clouds
28,Mataura,NZ,-46.1927,168.8643,77.79,39,25,5.14,scattered clouds
29,Russell,US,32.3502,-85.1999,52.83,87,0,0.0,clear sky
30,Busselton,AU,-33.65,115.3333,88.2,33,90,8.79,overcast clouds
31,Ponta Do Sol,PT,32.6667,-17.1,62.01,71,2,3.71,clear sky
32,Panguipulli,CL,-39.6333,-72.3333,46.67,82,36,2.57,scattered clouds
33,Norman Wells,CA,65.282,-126.8329,-14.76,76,75,3.44,broken clouds
34,Belaya Gora,RU,68.5333,146.4167,-32.84,95,97,3.62,overcast clouds
35,Thana,PK,34.6369,72.0739,64.58,50,80,3.49,broken clouds
36,Ribeira Grande,PT,38.5167,-28.7,59.77,73,96,11.01,overcast clouds
37,Hovd,MN,48.0056,91.6419,9.34,74,53,3.89,broken clouds
38,Clyde River,CA,70.4692,-68.5914,-27.17,62,0,3.44,clear sky
39,Ponta Delgada,PT,37.7333,-25.6667,52.52,93,20,4.61,few clouds
40,Harper,LR,4.375,-7.7169,78.82,87,9,5.3,clear sky
41,Tiksi,RU,71.6872,128.8694,-10.52,93,100,8.59,overcast clouds
42,Kapaa,US,22.0752,-159.319,79.12,85,75,13.8,light rain
43,Kavieng,PG,-2.5744,150.7967,84.04,71,45,5.12,light rain
44,Qaanaaq,GL,77.484,-69.3632,9.99,70,100,4.43,overcast clouds
45,Houma,US,29.5958,-90.7195,59.0,96,0,4.61,mist
46,Buala,SB,-8.145,159.5921,82.53,78,97,2.91,moderate rain
47,Fortuna,US,40.5982,-124.1573,45.66,94,75,0.0,broken clouds
48,Moratuwa,LK,6.773,79.8816,82.42,69,68,3.11,broken clouds
49,Augusto Correa,BR,-1.0217,-46.635,72.3,95,100,2.91,overcast clouds
50,Ngunguru,NZ,-35.6167,174.5,68.41,67,78,5.82,broken clouds
51,Iquitos,PE,-3.7481,-73.2472,73.44,88,75,3.44,broken clouds
52,Barrow,US,71.2906,-156.7887,-18.38,76,0,8.05,clear sky
53,Saint-Philippe,RE,-21.3585,55.7679,82.11,84,84,10.65,broken clouds
54,Tommot,RU,58.9564,126.2925,0.82,89,100,9.71,overcast clouds
55,Thompson,CA,55.7435,-97.8558,-36.24,67,0,0.0,clear sky
56,Bandarbeyla,SO,9.4942,50.8122,76.5,67,67,18.03,broken clouds
57,Carnarvon,AU,-24.8667,113.6333,81.43,66,0,19.04,clear sky
58,Lusambo,CD,-4.9667,23.45,70.56,95,100,2.37,overcast clouds
59,Letpadan,MM,17.7833,95.75,91.53,21,12,3.13,few clouds
60,Coquimbo,CL,-29.9533,-71.3436,62.33,100,75,3.44,broken clouds
61,The Valley,AI,18.217,-63.0578,76.1,69,52,22.21,broken clouds
62,Severo-Kurilsk,RU,50.6789,156.125,19.92,79,98,16.71,overcast clouds
63,Luderitz,NA,-26.6481,15.1594,64.42,73,88,2.59,overcast clouds
64,Albany,US,42.6001,-73.9662,41.72,75,88,6.44,overcast clouds
65,Port Hardy,CA,50.6996,-127.4199,46.58,100,100,4.61,light rain
66,Airai,TL,-8.9266,125.4092,70.03,76,89,3.33,overcast clouds
67,Ancud,CL,-41.8697,-73.8203,48.31,82,2,5.64,clear sky
68,Kudahuvadhoo,MV,2.6708,72.8944,80.58,77,46,8.03,scattered clouds
69,Beroroha,MG,-21.6667,45.1667,79.79,78,82,4.23,light rain
70,Iberia,US,29.9502,-91.7507,59.07,94,0,5.75,clear sky
71,Atuona,PF,-9.8,-139.0333,78.67,74,97,9.37,overcast clouds
72,Aloleng,PH,16.1307,119.7824,83.25,70,46,15.73,scattered clouds
73,Kirakira,SB,-10.4544,161.9205,83.64,76,85,3.6,overcast clouds
74,Zapolyarnyy,RU,69.4154,30.8136,15.08,95,56,9.19,broken clouds
75,Xiamen,CN,24.4798,118.0819,66.25,45,92,13.42,overcast clouds
76,Hasaki,JP,35.7333,140.8333,54.0,52,100,7.54,overcast clouds
77,Bluff,NZ,-46.6,168.3333,67.57,68,53,2.08,broken clouds
78,Mumbwa,ZM,-14.9783,27.0619,65.32,87,100,7.05,overcast clouds
79,Malm,NO,64.0721,11.2172,29.98,67,100,7.16,light snow
80,Rocha,UY,-34.4833,-54.3333,53.96,73,1,6.15,clear sky
81,Upata,VE,8.0086,-62.3989,70.2,88,4,3.65,clear sky
82,Butaritari,KI,3.0707,172.7902,81.09,77,56,6.98,light rain
83,Kuytun,RU,54.3419,101.5036,11.64,87,100,4.41,overcast clouds
84,Hobart,AU,-42.8794,147.3294,66.27,88,75,11.5,broken clouds
85,Maloy,NO,61.9353,5.1136,42.53,53,90,28.86,overcast clouds
86,Natal,BR,-5.795,-35.2094,79.45,83,40,9.22,scattered clouds
87,Acapulco,MX,16.8634,-99.8901,77.54,68,12,7.94,few clouds
